timestamp, name, utilization.gpu [%], utilization.memory [%], memory.used [MiB], power.draw [W]
2026/01/03 15:40:45.830, NVIDIA GeForce RTX 4090, 72 %, 69 %, 17429 MiB, 268.84 W
2026/01/03 15:40:46.833, NVIDIA GeForce RTX 4090, 93 %, 21 %, 17947 MiB, 284.25 W
2026/01/03 15:40:47.835, NVIDIA GeForce RTX 4090, 87 %, 67 %, 17949 MiB, 282.57 W
2026/01/03 15:40:48.838, NVIDIA GeForce RTX 4090, 79 %, 76 %, 17937 MiB, 276.31 W
2026/01/03 15:40:49.841, NVIDIA GeForce RTX 4090, 77 %, 12 %, 17825 MiB, 252.89 W
2026/01/03 15:40:50.843, NVIDIA GeForce RTX 4090, 96 %, 38 %, 17937 MiB, 315.83 W
2026/01/03 15:40:51.846, NVIDIA GeForce RTX 4090, 81 %, 78 %, 17955 MiB, 278.05 W
2026/01/03 15:40:52.848, NVIDIA GeForce RTX 4090, 63 %, 11 %, 17859 MiB, 250.65 W
2026/01/03 15:40:53.851, NVIDIA GeForce RTX 4090, 76 %, 35 %, 17966 MiB, 303.70 W
2026/01/03 15:40:54.853, NVIDIA GeForce RTX 4090, 89 %, 26 %, 17968 MiB, 292.12 W
2026/01/03 15:40:55.855, NVIDIA GeForce RTX 4090, 96 %, 16 %, 17968 MiB, 301.17 W
2026/01/03 15:40:56.857, NVIDIA GeForce RTX 4090, 97 %, 39 %, 18072 MiB, 302.02 W
2026/01/03 15:40:57.860, NVIDIA GeForce RTX 4090, 83 %, 80 %, 17455 MiB, 286.52 W
2026/01/03 15:40:58.863, NVIDIA GeForce RTX 4090, 98 %, 37 %, 18011 MiB, 305.74 W
2026/01/03 15:40:59.866, NVIDIA GeForce RTX 4090, 87 %, 84 %, 17451 MiB, 276.24 W
2026/01/03 15:41:00.871, NVIDIA GeForce RTX 4090, 98 %, 38 %, 18025 MiB, 298.62 W
2026/01/03 15:41:01.873, NVIDIA GeForce RTX 4090, 70 %, 68 %, 17449 MiB, 269.78 W
2026/01/03 15:41:02.876, NVIDIA GeForce RTX 4090, 97 %, 39 %, 18069 MiB, 294.12 W
2026/01/03 15:41:03.879, NVIDIA GeForce RTX 4090, 77 %, 20 %, 17859 MiB, 275.75 W
2026/01/03 15:41:04.882, NVIDIA GeForce RTX 4090, 95 %, 28 %, 17973 MiB, 299.79 W
2026/01/03 15:41:05.885, NVIDIA GeForce RTX 4090, 96 %, 25 %, 17968 MiB, 306.96 W
2026/01/03 15:41:06.887, NVIDIA GeForce RTX 4090, 98 %, 38 %, 17968 MiB, 301.02 W
2026/01/03 15:41:07.890, NVIDIA GeForce RTX 4090, 65 %, 44 %, 17838 MiB, 257.98 W
2026/01/03 15:41:08.896, NVIDIA GeForce RTX 4090, 94 %, 60 %, 18089 MiB, 332.92 W
2026/01/03 15:41:09.899, NVIDIA GeForce RTX 4090, 87 %, 12 %, 17953 MiB, 268.43 W
2026/01/03 15:41:10.901, NVIDIA GeForce RTX 4090, 78 %, 32 %, 17455 MiB, 279.99 W
2026/01/03 15:41:11.908, NVIDIA GeForce RTX 4090, 72 %, 43 %, 17451 MiB, 290.16 W
2026/01/03 15:41:15.847, NVIDIA GeForce RTX 4090, 96 %, 23 %, 17951 MiB, 296.32 W
2026/01/03 15:41:16.850, NVIDIA GeForce RTX 4090, 74 %, 26 %, 17828 MiB, 272.05 W
